MemberID,OrderID,Timestamp,NetPrice,Quantity,ProductID,ProductName,Category
C001,ORD001,2024-01-15 10:30:00,120.50,2,PROD01,Milk,Dairy
C001,ORD002,2024-01-22 14:15:00,45.00,1,PROD02,Bread,Bakery
C001,ORD003,2024-02-05 09:00:00,200.00,3,PROD03,Steak,Meat
C001,ORD004,2024-02-18 16:45:00,85.30,2,PROD04,Cheese,Dairy
C001,ORD005,2024-03-01 11:20:00,150.00,1,PROD05,Wine,Beverage
C001,ORD006,2024-03-15 10:00:00,60.00,2,PROD06,Eggs,Dairy
C001,ORD007,2024-04-02 13:30:00,180.00,1,PROD03,Steak,Meat
C001,ORD008,2024-04-20 17:00:00,95.00,3,PROD07,Butter,Dairy
C001,ORD009,2024-05-08 12:00:00,210.00,2,PROD05,Wine,Beverage
C001,ORD010,2024-05-22 09:30:00,70.00,1,PROD02,Bread,Bakery
C001,ORD011,2024-06-05 14:00:00,130.00,2,PROD03,Steak,Meat
C001,ORD012,2024-06-18 10:45:00,110.00,1,PROD08,Yogurt,Dairy
C002,ORD013,2024-01-05 11:00:00,250.00,5,PROD09,Chocolate,Snacks
C002,ORD014,2024-01-19 15:30:00,180.00,3,PROD10,Coffee,Beverage
C002,ORD015,2024-02-10 10:00:00,300.00,4,PROD03,Steak,Meat
C002,ORD016,2024-02-25 16:00:00,150.00,2,PROD05,Wine,Beverage
C002,ORD017,2024-03-12 09:30:00,200.00,3,PROD11,Salmon,Seafood
C002,ORD018,2024-03-28 14:45:00,175.00,2,PROD09,Chocolate,Snacks
C002,ORD019,2024-04-15 11:30:00,90.00,1,PROD02,Bread,Bakery
C002,ORD020,2024-05-01 13:00:00,220.00,4,PROD03,Steak,Meat
C002,ORD021,2024-05-18 10:15:00,160.00,2,PROD10,Coffee,Beverage
C002,ORD022,2024-06-02 15:00:00,280.00,3,PROD05,Wine,Beverage
C003,ORD023,2024-02-01 09:00:00,35.00,1,PROD01,Milk,Dairy
C003,ORD024,2024-03-10 12:30:00,45.00,1,PROD02,Bread,Bakery
C003,ORD025,2024-05-20 14:00:00,55.00,2,PROD06,Eggs,Dairy
C004,ORD026,2024-01-08 10:00:00,500.00,10,PROD12,Champagne,Beverage
C004,ORD027,2024-01-10 16:00:00,350.00,5,PROD11,Salmon,Seafood
C004,ORD028,2024-01-15 11:00:00,400.00,8,PROD03,Steak,Meat
C004,ORD029,2024-01-22 14:30:00,300.00,6,PROD05,Wine,Beverage
C004,ORD030,2024-02-01 09:30:00,450.00,7,PROD13,Lobster,Seafood
C004,ORD031,2024-02-08 17:00:00,550.00,8,PROD05,Wine,Beverage
C004,ORD032,2024-02-20 12:00:00,380.00,5,PROD03,Steak,Meat
C004,ORD033,2024-03-05 13:00:00,420.00,6,PROD11,Salmon,Seafood
C004,ORD034,2024-03-15 10:30:00,600.00,10,PROD12,Champagne,Beverage
C004,ORD035,2024-03-28 16:00:00,350.00,5,PROD03,Steak,Meat
C004,ORD036,2024-04-08 11:00:00,480.00,6,PROD13,Lobster,Seafood
C004,ORD037,2024-04-20 14:30:00,390.00,5,PROD05,Wine,Beverage
C004,ORD038,2024-05-02 09:00:00,520.00,8,PROD03,Steak,Meat
C004,ORD039,2024-05-18 17:30:00,450.00,7,PROD11,Salmon,Seafood
C004,ORD040,2024-06-01 12:00:00,580.00,9,PROD12,Champagne,Beverage
C004,ORD041,2024-06-20 14:00:00,410.00,5,PROD05,Wine,Beverage
C005,ORD042,2024-01-20 10:00:00,100.00,2,PROD01,Milk,Dairy
C005,ORD043,2024-02-25 15:00:00,80.00,1,PROD02,Bread,Bakery
C005,ORD044,2024-03-30 11:00:00,120.00,3,PROD06,Eggs,Dairy
C005,ORD045,2024-04-20 16:30:00,90.00,2,PROD08,Yogurt,Dairy
C005,ORD046,2024-05-15 09:00:00,110.00,2,PROD01,Milk,Dairy
C005,ORD047,2024-06-10 13:00:00,130.00,3,PROD07,Butter,Dairy
C006,ORD048,2024-06-25 10:00:00,200.00,4,PROD09,Chocolate,Snacks
C007,ORD049,2024-01-12 11:30:00,75.00,1,PROD02,Bread,Bakery
C007,ORD050,2024-01-12 11:30:00,35.00,1,PROD06,Eggs,Dairy
C007,ORD051,2024-03-18 14:00:00,65.00,2,PROD01,Milk,Dairy
C007,ORD052,2024-03-18 14:00:00,25.00,1,PROD08,Yogurt,Dairy
C007,ORD053,2024-06-01 10:00:00,55.00,1,PROD02,Bread,Bakery
C008,ORD054,2024-04-02 09:00:00,50.00,1,PROD01,Milk,Dairy
